date,air_pres,wind_dir,wind_speed,tide_level
2023-09-16 14:07:00+09:00,1012.5,142.0,0.9,-28.504975511518932
2023-09-16 14:22:00+09:00,1012.2,107.0,1.3,-27.371109253510216
2023-09-16 14:37:00+09:00,1011.9,47.0,0.8,-28.295830029934006
2023-09-16 14:52:00+09:00,1011.9,51.0,1.8,-27.30413386460791
2023-09-16 15:07:00+09:00,1011.6,57.0,2.0,-26.421330715421586
2023-09-16 15:22:00+09:00,1011.7,16.0,0.6,-26.672046479784278
2023-09-16 15:37:00+09:00,1011.2,64.0,1.0,-26.079072962799327
2023-09-16 15:52:00+09:00,1011.5,326.0,0.6,-24.662184132559677
2023-09-16 16:07:00+09:00,1011.5,25.0,0.0,-26.43705277842337
2023-09-16 16:22:00+09:00,1011.5,339.0,0.0,-25.414398472664626
2023-09-16 16:37:00+09:00,1011.5,42.0,1.3,-24.599475288909126
2023-09-16 16:52:00+09:00,1011.5,39.0,0.1,-24.991968720348087
2023-09-16 17:07:00+09:00,1011.7,0.0,0.0,-25.586320884581216
2023-09-16 17:22:00+09:00,1012.7,175.0,3.0,-25.372448433221194
2023-09-16 17:37:00+09:00,1012.3,88.0,0.3,-24.33676643210486
2023-09-16 17:52:00+09:00,1012.6,0.0,0.0,-25.46339131196887
2023-09-16 18:07:00+09:00,1012.3,39.0,0.8,-27.735372802568136
2023-09-16 18:22:00+09:00,1012.2,73.0,0.3,-25.135802159082345
2023-09-16 18:37:00+09:00,1011.6,59.0,0.6,-28.64866261602984
2023-09-16 18:52:00+09:00,1011.5,157.0,1.8,-27.259325420300495
2023-09-16 19:07:00+09:00,1011.7,175.0,2.2,-28.954645798923792
2023-09-16 19:22:00+09:00,1011.5,143.0,0.4,-30.722670585056125
2023-09-16 19:37:00+09:00,1011.4,45.0,0.5,-31.552024759917302
2023-09-16 19:52:00+09:00,1011.3,352.0,0.6,-32.43108989819265
2023-09-16 20:07:00+09:00,1011.5,354.0,0.2,-34.347116860282696
2023-09-16 20:22:00+09:00,1011.5,88.0,1.5,-36.285423861877035
2023-09-16 20:37:00+09:00,1011.8,151.0,0.3,-35.228818074418264
2023-09-16 20:52:00+09:00,1012.0,93.0,0.7,-36.15734615497481
2023-09-16 21:07:00+09:00,1012.1,102.0,0.3,-39.04843144660552
2023-09-16 21:22:00+09:00,1012.0,91.0,0.5,-39.87740007390304
2023-09-16 21:37:00+09:00,1012.1,93.0,0.8,-38.618342947664914
2023-09-16 21:52:00+09:00,1012.1,107.0,2.0,-41.24521385854153
2023-09-16 22:07:00+09:00,1011.9,101.0,1.9,-43.73303215805183
2023-09-16 22:22:00+09:00,1011.7,103.0,1.0,-43.059046470214625
2023-09-16 22:37:00+09:00,1011.4,0.0,0.0,-44.203724957982914
2023-09-16 22:52:00+09:00,1011.4,297.0,0.4,-48.151466215910105
2023-09-16 23:07:00+09:00,1011.4,0.0,0.0,-47.89096828812882
2023-09-16 23:22:00+09:00,1011.3,0.0,0.0,-47.41524482017627
2023-09-16 23:37:00+09:00,1011.1,0.0,0.0,-51.721328970810276
2023-09-16 23:52:00+09:00,1011.1,130.0,0.1,-48.80974950249964
2023-09-17 00:07:00+09:00,1011.1,136.0,0.6,-50.68389275332967
2023-09-17 00:22:00+09:00,1011.0,151.0,0.3,-50.34937455501838
2023-09-17 00:37:00+09:00,1011.0,168.0,0.5,-52.81353613311006
2023-09-17 00:52:00+09:00,1011.0,179.0,0.7,-50.085149310177485
2023-09-17 01:07:00+09:00,1011.0,83.0,0.0,-53.17437355098939
2023-09-17 01:22:00+09:00,1010.9,150.0,2.8,-51.09295737325729
2023-09-17 01:37:00+09:00,1010.6,164.0,1.8,-52.85462740140083
2023-09-17 01:52:00+09:00,1010.3,164.0,2.9,-50.47556780857552
2023-09-17 02:07:00+09:00,1010.2,158.0,3.3,-49.97486773606113
2023-09-17 02:22:00+09:00,1010.0,166.0,2.8,-50.374808842023185
2023-09-17 02:37:00+09:00,1009.9,150.0,2.2,-50.70088074834274
2023-09-17 02:52:00+09:00,1009.6,120.0,1.3,-48.98144691540935
2023-09-17 03:07:00+09:00,1009.3,99.0,1.0,-48.24703248353245
2023-09-17 03:22:00+09:00,1009.2,292.0,1.3,-47.52926170347811
2023-09-17 03:37:00+09:00,1008.9,238.0,2.9,-46.85952735268817
2023-09-17 03:52:00+09:00,1008.9,140.0,0.7,-46.26751965606992
2023-09-17 04:07:00+09:00,1009.2,121.0,2.2,-43.77977066136769
2023-09-17 04:22:00+09:00,1009.0,240.0,1.6,-46.41837709573082
2023-09-17 04:37:00+09:00,1008.9,166.0,5.9,-41.2000488905092
2023-09-17 04:52:00+09:00,1009.0,253.0,1.8,-41.13559361186739
2023-09-17 05:07:00+09:00,1008.8,188.0,2.6,-41.229893914751344
2023-09-17 05:22:00+09:00,1008.9,263.0,2.5,-37.482373215530245
2023-09-17 05:37:00+09:00,1009.1,303.0,3.0,-34.88788278282009
2023-09-17 05:52:00+09:00,1010.1,261.0,4.2,-36.4378901888142
2023-09-17 06:07:00+09:00,1010.3,300.0,5.2,-36.121812146742315
2023-09-17 06:22:00+09:00,1010.6,357.0,1.4,-30.928319456087124
2023-09-17 06:37:00+09:00,1010.1,275.0,2.8,-34.84645025092462
2023-09-17 06:52:00+09:00,1010.2,277.0,1.3,-32.866398735928
2023-09-17 07:07:00+09:00,1009.9,343.0,1.1,-29.97989559467983
2023-09-17 07:22:00+09:00,1010.1,15.0,0.3,-31.18015618195414
2023-09-17 07:37:00+09:00,1009.9,112.0,0.7,-29.461434843540005
2023-09-17 07:52:00+09:00,1010.6,132.0,3.4,-27.818279349205607
2023-09-17 08:07:00+09:00,1011.0,140.0,4.0,-30.24462060985457
2023-09-17 08:22:00+09:00,1011.0,159.0,4.9,-29.73285388361799
2023-09-17 08:37:00+09:00,1011.0,185.0,5.3,-26.27306585085479
2023-09-17 08:52:00+09:00,1011.1,184.0,6.0,-26.852537907313533
2023-09-17 09:07:00+09:00,1011.2,179.0,7.3,-28.455613671399973
2023-09-17 09:22:00+09:00,1011.4,177.0,5.9,-27.063964534142162
2023-09-17 09:37:00+09:00,1011.6,196.0,6.4,-25.65722924279943
2023-09-17 09:52:00+09:00,1011.8,186.0,5.8,-27.21395055565622
2023-09-17 10:07:00+09:00,1011.5,168.0,5.8,-28.71269162700543
2023-09-17 10:22:00+09:00,1011.5,184.0,4.5,-25.13319267015388
2023-09-17 10:37:00+09:00,1011.3,162.0,3.5,-29.457427471670606
2023-09-17 10:52:00+09:00,1011.4,165.0,4.6,-27.67043914324134
2023-09-17 11:07:00+09:00,1011.2,164.0,4.4,-28.760871623455095
2023-09-17 11:22:00+09:00,1011.0,159.0,3.5,-27.721161840781633
2023-09-17 11:37:00+09:00,1010.9,159.0,3.4,-27.547409459067367
2023-09-17 11:52:00+09:00,1010.8,167.0,3.4,-30.238988644352588
2023-09-17 12:07:00+09:00,1010.4,162.0,3.4,-27.798002008898585
2023-09-17 12:22:00+09:00,1010.4,157.0,4.3,-31.228695401569208
2023-09-17 12:37:00+09:00,1010.3,151.0,4.3,-29.53695083633109
2023-09-17 12:52:00+09:00,1010.5,157.0,5.0,-30.72995400740289
2023-09-17 13:07:00+09:00,1010.5,154.0,5.5,-31.81609598668698
2023-09-17 13:22:00+09:00,1010.4,160.0,5.6,-33.80512178307861
2023-09-17 13:37:00+09:00,1010.2,154.0,5.0,-30.708488982509206
2023-09-17 13:52:00+09:00,1010.2,167.0,4.8,-31.53985561703369
2023-09-17 14:07:00+09:00,1009.9,170.0,4.9,-34.31558486510964
2023-09-17 14:22:00+09:00,1009.5,167.0,3.5,-31.055140402316205
2023-09-17 14:37:00+09:00,1009.2,162.0,3.8,-29.78125273863137
2023-09-17 14:52:00+09:00,1009.2,190.0,4.3,-32.51976313103033
2023-09-17 15:07:00+09:00,1009.4,185.0,4.6,-30.29909405426367
2023-09-17 15:22:00+09:00,1009.8,173.0,3.1,-31.14934765096853
2023-09-17 15:37:00+09:00,1009.5,166.0,4.1,-30.101088369431118
2023-09-17 15:52:00+09:00,1009.4,169.0,5.2,-27.183914986128375
2023-09-17 16:07:00+09:00,1009.7,189.0,5.9,-29.424963017086874
2023-09-17 16:22:00+09:00,1009.9,186.0,5.0,-26.847495630443632
2023-09-17 16:37:00+09:00,1009.9,179.0,4.3,-25.469736758946176
2023-09-17 16:52:00+09:00,1009.9,204.0,5.3,-28.304074472273097
2023-09-17 17:07:00+09:00,1010.0,199.0,4.0,-26.356719186990468
2023-09-17 17:22:00+09:00,1010.1,207.0,4.5,-26.627845943390717
2023-09-17 17:37:00+09:00,1010.2,205.0,4.3,-26.112190462973224
2023-09-17 17:52:00+09:00,1010.0,184.0,5.8,-25.8000133176835
2023-09-17 18:07:00+09:00,1010.3,199.0,3.3,-27.67830298563943
2023-09-17 18:22:00+09:00,1010.3,200.0,2.6,-26.73206281307479
2023-09-17 18:37:00+09:00,1010.3,194.0,3.4,-28.945522351503413
2023-09-17 18:52:00+09:00,1010.3,219.0,2.9,-29.303130551206074
2023-09-17 19:07:00+09:00,1010.4,223.0,2.8,-28.790224157658503
2023-09-17 19:22:00+09:00,1010.4,211.0,2.8,-30.393314023513206
2023-09-17 19:37:00+09:00,1010.7,225.0,4.1,-30.09998772462192
2023-09-17 19:52:00+09:00,1011.0,225.0,2.4,-32.89848089094501
2023-09-17 20:07:00+09:00,1011.0,216.0,2.3,-34.77701446017534
2023-09-17 20:22:00+09:00,1011.0,230.0,2.0,-34.72302454435528
2023-09-17 20:37:00+09:00,1011.0,244.0,3.0,-37.722422019409656
2023-09-17 20:52:00+09:00,1011.0,250.0,2.3,-35.759009398523
2023-09-17 21:07:00+09:00,1011.0,244.0,2.4,-37.81415504504022
2023-09-17 21:22:00+09:00,1011.0,251.0,1.9,-39.86678389435647
2023-09-17 21:37:00+09:00,1011.0,251.0,1.8,-40.89369599777214
2023-09-17 21:52:00+09:00,1011.0,215.0,2.5,-41.870176634255266
2023-09-17 22:07:00+09:00,1011.0,237.0,1.6,-41.77082147251489
2023-09-17 22:22:00+09:00,1011.0,28.0,0.5,-44.57047303556126
2023-09-17 22:37:00+09:00,1011.1,352.0,2.0,-45.24515414030271
2023-09-17 22:52:00+09:00,1011.3,4.0,1.4,-46.77289106303833
2023-09-17 23:07:00+09:00,1011.2,8.0,1.9,-48.13434221826591
2023-09-17 23:22:00+09:00,1011.2,13.0,1.5,-50.313183038414316
2023-09-17 23:37:00+09:00,1011.3,351.0,2.6,-51.296238684841555
2023-09-17 23:52:00+09:00,1011.4,5.0,1.9,-51.07339657756992
2023-09-18 00:07:00+09:00,1011.4,347.0,2.5,-53.63736409601951
2023-09-18 00:22:00+09:00,1011.5,12.0,1.1,-54.98335797108273
2023-09-18 00:37:00+09:00,1011.6,40.0,0.4,-55.10881764417162
2023-09-18 00:52:00+09:00,1011.9,159.0,1.2,-57.01322445778415
2023-09-18 01:07:00+09:00,1011.8,93.0,1.1,-57.69808376776222
2023-09-18 01:22:00+09:00,1011.8,0.0,0.0,-57.16709199303575
2023-09-18 01:37:00+09:00,1011.8,0.0,0.0,-57.42647092905321
2023-09-18 01:52:00+09:00,1011.8,100.0,1.2,-57.48541377105539
2023-09-18 02:07:00+09:00,1011.6,56.0,0.8,-57.3565573982442
2023-09-18 02:22:00+09:00,1011.5,55.0,1.2,-57.05637853861266
2023-09-18 02:37:00+09:00,1011.5,350.0,0.6,-56.605410486621935
2023-09-18 02:52:00+09:00,1011.8,316.0,0.7,-56.02819267868434
2023-09-18 03:07:00+09:00,1011.5,4.0,0.6,-54.352895719877274
2023-09-18 03:22:00+09:00,1011.1,40.0,0.1,-52.610605234340184
2023-09-18 03:37:00+09:00,1011.3,144.0,0.8,-53.83429339136402
2023-09-18 03:52:00+09:00,1011.5,153.0,1.6,-51.05755058107046
2023-09-18 04:07:00+09:00,1011.5,156.0,0.1,-49.31318512037255
2023-09-18 04:22:00+09:00,1011.5,187.0,0.1,-48.63182084160364
2023-09-18 04:37:00+09:00,1011.3,0.0,0.0,-47.0406276360238
2023-09-18 04:52:00+09:00,1011.5,280.0,0.8,-44.56230756170911
2023-09-18 05:07:00+09:00,1011.4,1.0,0.6,-44.21443056642697
2023-09-18 05:22:00+09:00,1011.2,355.0,2.0,-44.00917308665771
2023-09-18 05:37:00+09:00,1011.3,321.0,3.1,-38.95346534085316
2023-09-18 05:52:00+09:00,1011.4,26.0,2.2,-39.049505514492544
2023-09-18 06:07:00+09:00,1011.5,27.0,1.2,-38.295557677352306
2023-09-18 06:22:00+09:00,1011.4,29.0,1.1,-35.686920666139
2023-09-18 06:37:00+09:00,1011.5,322.0,0.7,-34.216941070925046
2023-09-18 06:52:00+09:00,1011.9,316.0,0.8,-32.87794641102968
2023-09-18 07:07:00+09:00,1012.1,349.0,1.0,-33.66199369223012
2023-09-18 07:22:00+09:00,1012.0,21.0,0.5,-30.561360680118142
2023-09-18 07:37:00+09:00,1012.1,332.0,0.3,-30.56874753575347
2023-09-18 07:52:00+09:00,1012.1,56.0,0.5,-32.67719906200512
2023-09-18 08:07:00+09:00,1012.1,6.0,1.7,-29.879796683286934
2023-09-18 08:22:00+09:00,1012.2,359.0,1.7,-27.669199137124586
2023-09-18 08:37:00+09:00,1012.1,24.0,1.2,-26.537127874367343
2023-09-18 08:52:00+09:00,1012.4,33.0,1.2,-29.97389551017636
2023-09-18 09:07:00+09:00,1012.3,34.0,1.5,-27.468063695856102
2023-09-18 09:22:00+09:00,1012.5,58.0,0.4,-28.006292920238458
2023-09-18 09:37:00+09:00,1012.8,165.0,1.6,-28.573415077571806
2023-09-18 09:52:00+09:00,1012.9,158.0,4.0,-27.152725231084144
2023-09-18 10:07:00+09:00,1013.1,166.0,3.8,-27.726457140835443
2023-09-18 10:22:00+09:00,1013.2,172.0,4.2,-28.27638250536804
2023-09-18 10:37:00+09:00,1013.2,167.0,3.6,-28.78445990443123
2023-09-18 10:52:00+09:00,1013.0,174.0,4.3,-29.233457780736572
2023-09-18 11:07:00+09:00,1012.8,171.0,5.0,-28.607486155528512
2023-09-18 11:22:00+09:00,1012.7,175.0,5.2,-29.892391965030136
2023-09-18 11:37:00+09:00,1012.5,173.0,5.8,-30.075999278504604
2023-09-18 11:52:00+09:00,1012.3,167.0,6.1,-31.148203676069073
2023-09-18 12:07:00+09:00,1012.1,158.0,5.5,-31.100955028365586
2023-09-18 12:22:00+09:00,1012.1,156.0,6.7,-32.92818071101547
2023-09-18 12:37:00+09:00,1011.8,161.0,6.8,-33.6257089995363
2023-09-18 12:52:00+09:00,1011.6,170.0,5.7,-33.19124877731304
2023-09-18 13:07:00+09:00,1011.5,159.0,6.1,-34.624467342084785
2023-09-18 13:22:00+09:00,1011.5,163.0,7.7,-32.92718534426516
2023-09-18 13:37:00+09:00,1011.5,164.0,6.3,-35.10368043079094
2023-09-18 13:52:00+09:00,1011.2,171.0,7.2,-33.16106349037723
2023-09-18 14:07:00+09:00,1011.0,167.0,7.6,-35.10966808539124
2023-09-18 14:22:00+09:00,1010.9,173.0,7.7,-34.96337868492209
2023-09-18 14:37:00+09:00,1010.6,163.0,8.2,-33.739819429188366
2023-09-18 14:52:00+09:00,1010.5,170.0,9.4,-33.460333448652975
2023-09-18 15:07:00+09:00,1010.4,164.0,7.8,-32.1497024904799
2023-09-18 15:22:00+09:00,1010.3,168.0,7.6,-34.83558529229538
2023-09-18 15:37:00+09:00,1010.3,165.0,7.9,-31.547686930350583
2023-09-18 15:52:00+09:00,1010.4,166.0,7.0,-30.316705578824465
2023-09-18 16:07:00+09:00,1010.4,171.0,8.1,-31.173132934806958
2023-09-18 16:22:00+09:00,1010.4,168.0,7.4,-29.146005739426965
2023-09-18 16:37:00+09:00,1010.5,165.0,7.7,-28.261715290994815
2023-09-18 16:52:00+09:00,1010.6,170.0,6.5,-28.542978156399172
2023-09-18 17:07:00+09:00,1010.6,166.0,8.3,-27.00805482664236
2023-09-18 17:22:00+09:00,1010.8,171.0,7.5,-26.670275983184858
